dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Grundfunktioner och Komponenter;UGC;Support plate;horizontal building structural object in the form of a slab that distributes load from an overlying to an underlying structural object;mountain shoe, earth shoe, bearing heel, machine foundation, pole shoe, support ball, support button;Stödplatta;horisontellt byggkonstruktivt objekt i form av en platta som fördelar last från ett överliggande till ett underliggande strukturellt objekt;bergsko, jordsko, lagerklack, maskinfundament, pålsko, stödklots, stödknap
Grundfunktioner och Komponenter;UGD;console;horizontal structural object in form of a projection supporting and transferring loads from an overlying object  ;corbel;Konsol;horisontellt byggkonstruktivt objekt i form av en utkragning som överför transversallaster från ett överliggande objekt;brobanekonsol
Grundfunktioner och Komponenter;UH;structural holding object in independent orientation;;;Byggkonstruktivt stag;byggkonstruktivt hållande objekt i riktningsoberoende orientering;
Grundfunktioner och Komponenter;UHA;structural brace object in an elongated form transferring axial tensile loads ;earth anchor, ground anchor, rock bolt, tie;;Dragstag;Byggkonstruktivt stag som överför axiella draglaster;bärkabel, snedsträva, spännstag, spännstål, stag, stång
Grundfunktioner och Komponenter;UHB;structural brace object transferring horizontal pressure loads;plate, pressure distribution, support wedge, strut;;Tryckstag;Byggkonstruktivt stag som överför trycklaster;hammarband vid spontvägg, horisontellt tryckstag, kontrefort, strävpelare, stämp
Grundfunktioner och Komponenter;UJ;structural holding object in curved form;;;Byggkonstruktiv båge;byggkonstruktivt hållande objekt i böjd form;
Grundfunktioner och Komponenter;UJA;structural object transferring transverse loads to axial loads;arch, weft vault, monastery vault, cross rib vault, cross vault, pipe screen, stick vault, star vault, barrel vault, vault plate;;Bärande båge;byggkonstruktivt båge som överför transversallaster till axiella laster;båge, inslagsvalv, klostervalv, kryssribbvalv, kryssvalv, rörskärm, stickvalv, stjärnvalv, tunnvalv, valvplåt
Grundfunktioner och Komponenter;UJB;structural arch object in form of a pipe transferring loads;;;Brorör;byggkonstruktivt båge i form av ett rör med > 2 meter i diameter som överför last;
Grundfunktioner och Komponenter;UM;Reinforcing objects;holding objects by reinforcement;;Förstärkande objekt;hållande objekt genom förstärkning ;
Grundfunktioner och Komponenter;UMA;Reinforcement bar;reinforcing objects in the form of an embedded rod;rebar, rock bolt, earth screw, earth nail;Armeringsstång;förstärkande objekt i form av en inbäddad stång;armeringsjärn, bergbult, jordskruv, jordspik
Grundfunktioner och Komponenter;UMB;Reinforcement mesh;reinforcing objects in the form of embedded mesh or cloth;reinforcement fabric, geotextile, earth reinforcement mesh, duct mesh, mesh;Armeringsnät;förstärkande objekt i form av inbäddat nät eller duk;armeringsduk, geotextil, jordarmeringsnät, kanalnät, nät
Grundfunktioner och Komponenter;UMC;Reinforcement layer;reinforcing objects in the form of a mass layer;rust bed, underballast;Förstärkningslager;förstärkande objekt i form av ett masslager;rustbädd, underballast
Grundfunktioner och Komponenter;UMD;Injected mass;reinforcing objects in the form of embedded material;jet injection, kc pillar, compaction injection, mdm pillar, mass stabilization, penetration injection, piling, stone pillar, surface stabilization;Injekterad massa;förstärkande objekt i form av inbäddat material;jetinjektering, kc-pelare, kompakteringsinjektering, mdm-pelare, masstabilisering, penetrationsinjektering, pliggpålning, stenpelare, ytstabilisering
Grundfunktioner och Komponenter;UME;End plate;reinforcing objects in the form of an end plate;;Slutbleck;förstärkande objekt i form av ett slutbleck;
Grundfunktioner och Komponenter;UMF;Splicing;reinforcing objects in the form of a taper;;Utspetsning;förstärkande objekt i form av en utspetsning;
Grundfunktioner och Komponenter;UMG;Vertical drainage;reinforcing objects in the form of a vertical draining layer;;Vertikaldränering;förstärkande objekt i form av ett vertikalt dränerande skikt;
Grundfunktioner och Komponenter;UMH;Sprayed concrete;reinforcing objects in the form of shotcrete;;Sprutbetong;förstärkande objekt i form av sprutbetong;
Grundfunktioner och Komponenter;UMJ;Concrete lining;reinforcing objects in the form of concrete lining;;Betonglining;förstärkande objekt i form av betonglining;
Grundfunktioner och Komponenter;UMK;Stiffening;reinforcing objects in the form of stiffeners;life stiffening, shorting;Avstyvning;förstärkande objekt i form av avstyvning;livavstyvning, kortling
Grundfunktioner och Komponenter;UML;Diagonal connection;reinforcing objects in the form of a diagonal connection;cross beam, cross joint;Diagonal förbindning;förstärkande objekt i form av en diagonal förbindning;tvärbalk, tvärförband
Grundfunktioner och Komponenter;UMM;Reinforcement cable;reinforcing objects in the form of cables;cable, staglina;Förstärkningskabel;förstärkande objekt i form av kablar;kabel, staglina
Grundfunktioner och Komponenter;UMN;Followers;reinforcing objects in the form of a horizontal connector;intermediary, shorting;Följare;förstärkande objekt i form av en horisontell sammanbindare;mellanliggare, kortling
Grundfunktioner och Komponenter;UMP;Pressure bank;reinforcing objects which, with their abutting weight, provide increased stability in soil;backfill;Tryckbank;förstärkande objekt som med sin mothållande tyngd ger ökad stabilitet i jord;stödfyllning
Grundfunktioner och Komponenter;UN;Framing objects;holding objects by framing;;Inramande objekt;hållande objekt genom inramning ;
Grundfunktioner och Komponenter;UNA;Frame;framing objects with a fixed frame;door frame, window frame, frame, opening frame;Karm;inramande objekt med en fast ram;dörrkarm, fönsterkarm, sarg, öppningskarm
Grundfunktioner och Komponenter;UNB;Threshold;framing objects in the lowest part of a doorway;;Tröskel;inramande objekt i den lägsta delen av en dörröppning;
Grundfunktioner och Komponenter;UNC;Frame;framing objects with a moving frame;frame, window frame, window frame;Ram;inramande objekt med en rörlig ram;båge, fönsterbåge, fönsterram
Grundfunktioner och Komponenter;UND;Bar;framing object that shares another object;;Spröjs;inramande objekt som delar ett annat objekt;
Grundfunktioner och Komponenter;UP;movable jointing object;holding object by jointing movable object;;Rörligt sammankopplande objekt;hållande objekt för ett rörligt objekt;
Grundfunktioner och Komponenter;UPA;bearing;joint object for movable object by bearing;;Lager;rörligt sammankopplande objekt genom lager;axellager, brolager, rörligt lager
Grundfunktioner och Komponenter;UPB;hinge;joint object for movable object by mechanical joint;;Gångjärn;rörligt sammankopplande objekt genom mekanisk fog;ledad pålskarv, länk, länkplatta
Grundfunktioner och Komponenter;UPC;Dilation device;movable interconnecting object for rails;;Dilatationsanordning;rörligt sammankopplande objekt för räl;
Grundfunktioner och Komponenter;UQ;Fastening objects;holding objects by attaching to another object;;Fästande objekt;hållande objekt genom fastsättning på annat objekt;
Grundfunktioner och Komponenter;UQA;Permanent mechanical attachment;fastening objects by rigid permanent mechanical method;dowel, folding, rivet, plug, pop rivet, nail, nail plate;Permanent mekanisk fastsättning;fästande objekt genom rigid permanent mekanisk metod;dymling, falsning, nit, plugg, popnit, spik, spikplåt
Grundfunktioner och Komponenter;UQB;Reversible mechanical attachment;fastening objects by rigid reversible mechanical method;anchor iron, anchor plate, anchor end, beam shoe, fastening, rock anchorage, blind rivet, bolt, support anchor, support cable anchorage, clip, fixing, fastener, anchorage, anchor bolt, anchor plate, anchor point, base screw, sleeve anchor, fastening bolt, grouting plate, grouting plate, grouting plate mounting rail, nut, folding cup, column shoe, plate anchor, rail anchorage, pipe sleeve, connection, screw, screw connection, shotcrete cross, step strip, lashing, sweep, thermoplastic screw, wire lift, wall anchor, wall shoe;Reversibel mekanisk fastsättning;fästande objekt genom rigid reversibel mekanisk metod;ankarjärn, ankarplatta, ankarslut, balksko, befästning, bergförankring, blindnit, bult, bärankare, bärkabelförankring, clip, fixering, fästdon, förankring, förankringsbult, förankringsplatta, förankringspunkt, grundskruv, hylsankare, infästningsbult, ingjutningsgods, knutplåt, kramla, kulankare, montageplåt, montageskena, mutter, omvikningskupa, pelarsko, plattankare, räckesförankring, rörhylsa, sammanbindning, skruv, skruvförband, sprutbetongkors, stegband, surrning, svep, termoplastskruv, vajerlyft, väggankare, väggsko
Grundfunktioner och Komponenter;UQC;Elastic fastening;fastening objects by elastic mechanical device;relaxation device, expansion joint;Elastisk fastsättning;fästande objekt genom elastisk mekanisk anordning;avspänningsanordning, dilatationsfog
Grundfunktioner och Komponenter;UQD;Permanent chemical attachment;fastening objects by permanent chemical attachment;fastener, chemical anchor, chemical wood, glue, mortar, weld, weld plate, welding plate, wood glue;Permanent kemisk fastsättning;fästande objekt genom permanent kemisk infästning;fästbruk, kemankare, kemiskt trä, lim, murbruk, svetsfog, svetsplatta, svetsplåt, trälim
Grundfunktioner och Komponenter;UR;fixed jointing object;holding object by fixed joint;;Sammanfogande objekt;hållande objekt genom fast sammanfogning;
Grundfunktioner och Komponenter;URA;chemical joint;jointing object by chemical bonding;grout, building silicone, cement joint, sealant, sealant, glass silicone, silicone, wet room silicone, weld;Kemisk fog;kemiskt sammanfogande objekt;bruksfog, byggsilikon, cementfog, fogmassa, fogskum, glassilikon, silikon, våtrumssilikon, svetsfog
Grundfunktioner och Komponenter;URB;joint;jointing object by mechanical bonding;high voltage splice, cable splice, low voltage splice, pile splice, rail splice;Skarv;mekaniskt sammanfogande objekt;högspänningsskarv, kabelskarv, lågspänningsskarv, pålskarv, rälsskarv
Grundfunktioner och Komponenter;UT;Level-adjusting objects;holding objects through existing land;;Nivåjusterande objekt;hållande objekt genom befintlig mark;
Grundfunktioner och Komponenter;UTA;Filling mass;level-adjusting object that gives a surface-defined profile by filling;leveling bearing, bank filling, float putty, moisture-retaining soil, filter layer, filling, preload, adjustment layer, cone, backfill, load-reducing filling, light filling, remaining filling, slope, putty, sealing core, backfilling, transition layer;Fyllningsmassa;nivåjusterande objekt som ger en yta bestämd profil genom fyllning;avjämningslager, bankfyllning, flytspackel, fukthållande jord, filterlager, fyllning, förbelastning, justeringlager, kon, kringfyllning, lastreducerande fyllning, lättfyllning, resterande fyllning, slänt, spackel, tätkärna, återfyllning, övergångslager
Grundfunktioner och Komponenter;UTB;Shaft mass;level-adjusting objects that give a surface-defined profile by excavation;rock shaft, rock cutting, earth shaft, tunnel and rock chamber geometry, excavation;Schaktmassa;nivåjusterande objekt som ger en yta bestämd profil genom schaktning;bergschakt, bergskärning, jordschakt, tunnel- och bergrumsgeometri, urgrävning
Grundfunktioner och Komponenter;UU;Existing land;holding objects through existing land;;Befintlig mark;hållande objekt genom befintlig mark;
Grundfunktioner och Komponenter;UUA;Mountain;existing land consisting of mountains;;Berg;befintlig mark som utgörs av berg;
Grundfunktioner och Komponenter;UUB;Friction soil;existing land consisting of friction soil;gravel, moraine, sand;Friktionsjord;befintlig mark som utgörs av friktionsjord;grus, morän, sand
Grundfunktioner och Komponenter;UUC;Cohesive soil;existing land consisting of cohesive soil;clay, quick clay, silt;Kohesionsjord;befintlig mark som utgörs av kohesionsjord;lera, kvicklera, silt
Grundfunktioner och Komponenter;UUD;Organic soil;existing land consisting of organic soil;dy, mud, peat;Organisk jord;befintlig mark som utgörs av organisk jord;dy, gyttja, torv
